station,net,lat,lon,ele,arrivalTime,epiDistance,azimuth,epiDistanceKm,waveformAvailable
CGJI,IA,-6.61,105.69,182,2018-01-23T06:35:03.254+00:00,0.62,-21.26,,F
SKJI,IA,-7.01,106.56,100.35,2018-01-23T06:35:03.851+00:00,0.66,73.3,,F
DBJI,IA,-6.55,106.75,210.84,2018-01-23T06:35:09.672+00:00,1.05,52.18,,F
SBJI,IA,-6.11,106.13,64.48,2018-01-23T06:35:10.418+00:00,1.1,11.09,,
CBJI,IA,-6.7,106.93,1006.3,2018-01-23T06:35:10.866+00:00,1.13,63.81,,F
CNJI,IA,-7.31,107.13,589,2018-01-23T06:35:12.060+00:00,1.21,95.46,,F
TNGI,IA,-6.17,106.65,75,2018-01-23T06:35:12.657+00:00,1.25,35.31,,F
TNG,IA,-6.17,106.65,51.25,2018-01-23T06:35:12.657+00:00,1.25,35.3,,F
RBSI,IA,-5.84,105.74,224.44,2018-01-23T06:35:14.299+00:00,1.36,-7.39,,F
BLSI,IA,-5.37,105.25,146.79,2018-01-23T06:35:23.104+00:00,1.95,-20.13,,F
BBJI,GE,-7.4626,107.65,615,2018-01-23T06:35:19.777+00:00,1.74,98.94,190.6,T
BKNI,GE,0.3262,101.0396,65,2018-01-23T06:37:00.271+00:00,8.86,326.12,,T
COCO,II,-12.19,96.83,1,2018-01-23T06:37:21.772+00:00,10.33,239.93,,T
JAGI,GE,-8.4702,114.1521,171,2018-01-23T06:36:52.792+00:00,8.23,100.11,,T
KOM,MY,1.7922,103.8467,49,2018-01-23T06:37:07.282+00:00,9.07,346.46,,T
KSM,MY,1.47,110.31,66,2018-01-23T06:39:36.855+00:00,9.55,27.16,,T
PMBI,GE,-2.9024,104.6993,25,2018-01-23T06:35:59.430+00:00,4.35,343.11,,T
SBM,MY,2.4529,112.214,237,2018-01-23T06:36:01.377+00:00,11.35,33.56,,T
SMRI,GE,-7.0492,110.4407,203,2018-01-23T06:36:13.062+00:00,4.44,89.72,,T
UGM,GE,-7.91,110.52,350,2018-01-23T06:36:01.844+00:00,4.59,100.51,,T
XMI,AU,10.45,105.69,252,2018-01-23T06:35:43.615+00:00,3.26,-176.03,,T
XMIS,AU,-10.48,105.65,210,2018-01-23T06:35:42.680+00:00,3.38,185.2,,T
LEM,IA,-6.82,107.61,1200,2018-01-23T06:35:20.950+00:00,1.66,80.83,,F
